Sl_no,SRO,YEAR,LOCATION
208, Central -Asaf Ali (SR III),2021-2022, Mantola*
209, Central -Asaf Ali (SR III),2021-2022, Masih Garh*
210, Central -Asaf Ali (SR III),2021-2022, Masjid Moth*
211, Central -Asaf Ali (SR III),2021-2022, Masood Pur*
212, Central -Asaf Ali (SR III),2021-2022, Mata Rameshwari Nagar
213, Central -Asaf Ali (SR III),2021-2022, Mata Sundari Rly Colony (Minto Road)
214, Central -Asaf Ali (SR III),2021-2022, Mata Sundri Road*
215, Central -Asaf Ali (SR III),2021-2022, Matia Mahal*
216, Central -Asaf Ali (SR III),2021-2022, May Fair Garden*
217, Central -Asaf Ali (SR III),2021-2022, Meena Bazar (Jama Masjid)
218, Central -Asaf Ali (SR III),2021-2022, Mehrauli*
219, Central -Asaf Ali (SR III),2021-2022, Militry Road
220, Central -Asaf Ali (SR III),2021-2022, Minto Road
221, Central -Asaf Ali (SR III),2021-2022, Mirdard Road*
222, Central -Asaf Ali (SR III),2021-2022, Mithapur*
223, Central -Asaf Ali (SR III),2021-2022, Model Basti (Manakpura)
224, Central -Asaf Ali (SR III),2021-2022, Molarband*
225, Central -Asaf Ali (SR III),2021-2022, Mori Gate*
226, Central -Asaf Ali (SR III),2021-2022, Moti Bagh -1*
227, Central -Asaf Ali (SR III),2021-2022, Moti Nagar*
228, Central -Asaf Ali (SR III),2021-2022, Motia Bagh*
229, Central -Asaf Ali (SR III),2021-2022, Motia Khan*
230, Central -Asaf Ali (SR III),2021-2022, Multani Dhanda
231, Central -Asaf Ali (SR III),2021-2022, Munirka*
232, Central -Asaf Ali (SR III),2021-2022, Nabi Karim
233, Central -Asaf Ali (SR III),2021-2022, Nai Basti*
234, Central -Asaf Ali (SR III),2021-2022, Nai Sarak*
235, Central -Asaf Ali (SR III),2021-2022, Nai Wala
236, Central -Asaf Ali (SR III),2021-2022, Nai Wara*
237, Central -Asaf Ali (SR III),2021-2022, Naiwala*
238, Central -Asaf Ali (SR III),2021-2022, Nanak Pura*
239, Central -Asaf Ali (SR III),2021-2022, Nangal Raya*
240, Central -Asaf Ali (SR III),2021-2022, Naraina Vihar*
241, Central -Asaf Ali (SR III),2021-2022, Naraina*
242, Central -Asaf Ali (SR III),2021-2022, Nawab Ganj*
243, Central -Asaf Ali (SR III),2021-2022, Naya Bazar*
244, Central -Asaf Ali (SR III),2021-2022, Nehru Nagar*
245, Central -Asaf Ali (SR III),2021-2022, Netaji Nagar*
246, Central -Asaf Ali (SR III),2021-2022, New Friends Colony*
247, Central -Asaf Ali (SR III),2021-2022, New Moti Nagar*
248, Central -Asaf Ali (SR III),2021-2022, New Rajinder Nagar
249, Central -Asaf Ali (SR III),2021-2022, New Ranjit Nagar*
250, Central -Asaf Ali (SR III),2021-2022, New Rohtak Road*
251, Central -Asaf Ali (SR III),2021-2022, Niti Bagh*
252, Central -Asaf Ali (SR III),2021-2022, Nizamuddin West*
253, Central -Asaf Ali (SR III),2021-2022," North Extn. Area, Pusa Road"
254, Central -Asaf Ali (SR III),2021-2022, Okhla Village*
255, Central -Asaf Ali (SR III),2021-2022, Old Daryaganj Area( Pataudi House)
256, Central -Asaf Ali (SR III),2021-2022, Old Rajinder Nagar
257, Central -Asaf Ali (SR III),2021-2022, Old Subzi Mandi*
258, Central -Asaf Ali (SR III),2021-2022, Others
259, Central -Asaf Ali (SR III),2021-2022, Padam Singh Road
260, Central -Asaf Ali (SR III),2021-2022, Padmini Enclave*
261, Central -Asaf Ali (SR III),2021-2022, Pahar Ganj
262, Central -Asaf Ali (SR III),2021-2022, Pahari Bhojla*
263, Central -Asaf Ali (SR III),2021-2022, Pahari Gajaan
264, Central -Asaf Ali (SR III),2021-2022, Pahari Imli
265, Central -Asaf Ali (SR III),2021-2022, Pai Walan (Chandni Chowk)
266, Central -Asaf Ali (SR III),2021-2022, Pamposh Enclave*
267, Central -Asaf Ali (SR III),2021-2022, Pandara Road*
268, Central -Asaf Ali (SR III),2021-2022, Pandav Nagar*
269, Central -Asaf Ali (SR III),2021-2022, Pant Nagar*
270, Central -Asaf Ali (SR III),2021-2022, Parsad Nagar*
271, Central -Asaf Ali (SR III),2021-2022, Partap Nagar*
272, Central -Asaf Ali (SR III),2021-2022, Paschim Puri*
